model_size,context_length,phase,cpu_span_ms,kernel_span_ms,kernel_calls,kernel_cumulative_ms,matrix_multiply_calls,matrix_multiply_cumulative_ms,matrix_multiply_fraction,other_calls,other_cumulative_ms,other_fraction,top_kernel,top_kernel_calls,top_kernel_cumulative_ms,top_other_kernel,top_other_kernel_calls,top_other_kernel_cumulative_ms
medium,256,train_step,199.355032,198.39961083984375,7207,118.41729600000005,651,60.72077500000001,0.5127694775263234,6556,57.69652100000005,0.48723052247367665,ampere_sgemm_128x64_tn,169,22.51546900000001,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",1412,14.931540999999992
medium,256,zero_grad,0.364236,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,,0,0.0
medium,256,forward,48.77235700000001,49.546662109375,1256,29.847878000000012,217,23.49835800000001,0.7872706394739352,1039,6.34952,0.2127293605260648,ampere_sgemm_128x64_tn,169,22.51546900000001,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",290,1.16907
medium,256,loss,0.23616900000000002,0.25334521484375,9,0.248286,0,0.0,0.0,9,0.248286,1.0,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",2,0.10819300000000001,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",2,0.10819300000000001
medium,256,backward,97.395465,95.90235595703125,2438,57.901824,434,37.22241699999999,0.6428539625971021,2004,20.679407000000005,0.3571460374028978,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params),73,13.996141999999997,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",313,6.224068000000004
medium,256,optimizer,51.068113,51.91112890625,3504,30.41930800000001,0,0.0,0.0,3504,30.41930800000001,1.0,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",1314,14.740980999999996,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",1314,14.740980999999996
medium,512,train_step,270.160455,269.46376171875,7207,257.32613699999996,651,121.91509600000002,0.4737765755990812,6556,135.411041,0.526223424400919,ampere_sgemm_128x64_tn,168,40.75167000000001,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",388,25.778040000000004
medium,512,zero_grad,0.34069499999999997,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0,0.0,,0,0.0
medium,512,forward,47.1585,74.91877197265624,1256,73.06157,217,45.64329400000002,0.6247236953709044,1039,27.418276,0.37527630462909567,ampere_sgemm_128x64_tn,168,40.75167000000001,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",48,3.8643859999999997
medium,512,loss,0.216733,0.83930322265625,9,0.834247,0,0.0,0.0,9,0.834247,1.0,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",2,0.286882,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",2,0.286882
medium,512,backward,130.494476,155.39778173828125,2438,152.760422,434,76.271802,0.49929033319900096,2004,76.48862,0.500709666800999,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params),73,24.469934,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",340,21.913654
