batch_size,causal,cv,dimension,dtype,implementation,kind,mean_seconds,memory_active_peak_bytes,memory_allocated_peak_bytes,memory_current_allocated_bytes,memory_current_reserved_bytes,memory_requested_peak_bytes,memory_reserved_peak_bytes,metadata_cuda,metadata_device,metadata_device_name,metadata_memory_total_mib,metadata_tf32,metadata_torch,metadata_triton,p20_seconds,p50_seconds,p80_seconds,phase,raw_seconds,sample_stdev_seconds,seed,sequence_length,source,status,steps,warmup
1,True,0.07403419867074187,64,bfloat16,eager,attention,0.00018835756927728652,10092544,10092544,8716288,23068672,10092544,23068672,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.00017934925854206084,0.00018258485943078995,0.00019445493817329406,forward,"[0.00022209994494915009, 0.00019256584346294403, 0.00018424354493618011, 0.00017935223877429962, 0.00020201131701469421, 0.0001831352710723877, 0.0001820344477891922, 0.00017933733761310577, 0.00017976388335227966, 0.0001790318638086319]",1.3944901705012656e-05,0,512,attention/core-eager-512-64-forward.json,ok,10,5
1,True,0.01658778122165237,64,bfloat16,eager,attention,0.0009005818516016007,19727360,19727360,17432576,25165824,19726344,25165824,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0008886497467756272,0.0008982885628938675,0.0009090762585401535,forward_backward,"[0.0009213369339704514, 0.0008970517665147781, 0.0009292252361774445, 0.000906011089682579, 0.0008908174932003021, 0.0008865352720022202, 0.000902518630027771, 0.0008891783654689789, 0.0008836183696985245, 0.0008995253592729568]",1.4938654726557953e-05,0,512,attention/core-eager-512-64-forward_backward.json,ok,10,5
1,True,0.02488081968907911,128,bfloat16,eager,attention,0.0036492191255092623,635700224,635700224,35914240,715128832,635699208,715128832,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.003592854365706444,0.0035999594256281853,0.0036806631833314896,backward,"[0.0036035925149917603, 0.0036162175238132477, 0.003592854365706444, 0.0035912860184907913, 0.0036806631833314896, 0.0035963263362646103, 0.0035937801003456116, 0.0035900603979825974, 0.003816811367869377, 0.003810599446296692]",9.079556306773491e-05,0,8192,attention/core-eager-8192-128-backward.json,ok,10,5
1,True,0.003322180603393447,128,bfloat16,eager,attention,0.002598952688276768,352452608,352452608,14811136,423624704,352452608,423624704,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0025935936719179153,0.002595498226583004,0.0026018161326646803,forward,"[0.002621069550514221, 0.0026012547314167023, 0.0025940239429473877, 0.002598712220788002, 0.0025954898446798325, 0.0025937017053365707, 0.0025955066084861755, 0.0025925450026988983, 0.0025931615382432938, 0.0026040617376565933]",8.634190210130333e-06,0,8192,attention/core-eager-8192-128-forward.json,ok,10,5
1,True,0.0016451453027494125,128,bfloat16,eager,attention,0.0058961594477295876,631505920,631505920,29622272,828375040,631504904,828375040,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.005890902504324913,0.005892442539334297,0.005900904536247253,forward_backward,"[0.005901731550693512, 0.005900697782635689, 0.005892304703593254, 0.00588744692504406, 0.005889697000384331, 0.0058924127370119095, 0.005891203880310059, 0.005892472341656685, 0.00589296780526638, 0.005920659750699997]",9.700039019693901e-06,0,8192,attention/core-eager-8192-128-forward_backward.json,ok,10,5
1,True,0.028140630461626695,64,bfloat16,eager,attention,0.003258238360285759,628360192,628360192,26477056,704643072,628359176,704643072,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.003163794055581093,0.0032765325158834457,0.0033250562846660614,backward,"[0.0033250562846660614, 0.003126107156276703, 0.003153245896100998, 0.003163794055581093, 0.0032129399478435516, 0.0032817088067531586, 0.003271356225013733, 0.0032857414335012436, 0.003384087234735489, 0.003378346562385559]",9.168888165269804e-05,0,8192,attention/core-eager-8192-64-backward.json,ok,10,5
1,True,0.0037985915081456853,64,bfloat16,eager,attention,0.002364349737763405,348258304,348258304,11665408,427819008,348258304,427819008,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.0023590818047523497,0.0023614270612597466,0.0023661132901906965,forward,"[0.00238829106092453, 0.0023682769387960434, 0.0023584049195051193, 0.00236557237803936, 0.0023620184510946274, 0.0023608356714248657, 0.0023623891174793243, 0.0023591481149196625, 0.0023597441613674164, 0.0023588165640830994]",8.981198836154548e-06,0,8192,attention/core-eager-8192-64-forward.json,ok,10,5
1,True,0.0016815661851670614,64,bfloat16,eager,attention,0.005163372308015823,626263040,626263040,23330816,702545920,626262024,702545920,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.005156299471855164,0.005161963403224945,0.005167325958609581,forward_backward,"[0.00516633503139019, 0.005162598565220833, 0.00515701062977314, 0.005156319588422775, 0.005156219005584717, 0.005154728889465332, 0.005161328241229057, 0.005164932459592819, 0.005182961001992226, 0.0051712896674871445]",8.682552274587413e-06,0,8192,attention/core-eager-8192-64-forward_backward.json,ok,10,5
1,True,0.00915238693709021,128,bfloat16,eager,attention,0.013191606616601348,2462319616,2462319616,54788608,3265265664,2462318600,3265265664,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.01307358406484127,0.013167785480618477,0.013330446556210518,backward,"[0.01307358406484127, 0.013089235872030258, 0.013139983639121056, 0.013271166011691093, 0.013371521607041359, 0.013330446556210518, 0.013195587322115898, 0.01306132785975933]",0.00012073468807701496,0,16384,attention/long-eager-16384-128-backward.json,ok,8,3
1,True,0.01892154728048405,128,bfloat16,eager,attention,0.009638744173571467,1367474176,1367474176,21102592,1652555776,1367474176,1652555776,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.009486843273043633,0.009647923521697521,0.009691696986556054,forward,"[0.009665582329034805, 0.010007776319980621, 0.009709106758236885, 0.009639043360948563, 0.00965680368244648, 0.009568050503730774, 0.009432705119252205, 0.009430885314941406]",0.00018237995360472268,0,16384,attention/long-eager-16384-128-forward.json,ok,8,3
1,True,0.002805588315987753,128,bfloat16,eager,attention,0.022437975276261568,2453931008,2453931008,42205184,3265265664,2453929992,3265265664,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,0.022422000765800476,0.022439220920205116,0.022454536706209182,forward_backward,"[0.022551827132701874, 0.02242029458284378, 0.02243606187403202, 0.02242456004023552, 0.022456884384155273, 0.022320779040455818, 0.022442379966378212, 0.022451015189290047]",6.295172126950152e-05,0,16384,attention/long-eager-16384-128-forward_backward.json,ok,8,3
