batch_size,causal,compile,context_length,cv,dimension,dtype,implementation,kind,mean_seconds,memory_active_peak_bytes,memory_allocated_peak_bytes,memory_current_allocated_bytes,memory_current_reserved_bytes,memory_requested_peak_bytes,memory_reserved_peak_bytes,metadata_cuda,metadata_device,metadata_device_name,metadata_memory_total_mib,metadata_tf32,metadata_torch,metadata_triton,mode,model_size,p20_seconds,p50_seconds,p80_seconds,phase,raw_seconds,sample_stdev_seconds,seed,sequence_length,source,status,steps,warmup
1,True,,,0.04938137658379618,64,bfloat16,compiled,attention,0.00019537042826414108,9765888,9765888,197632,27262976,9764880,27262976,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.00018936395645141602,0.00019137002527713776,0.00019802190363407134,forward,"[0.00020783580839633942, 0.00021721050143241882, 0.00019556842744350433, 0.0001916922628879547, 0.00018916279077529907, 0.00019021332263946533, 0.00019467249512672424, 0.0001910477876663208, 0.00018941424787044525, 0.00018688663840293884]",9.647660691449088e-06,0,512,attention/core-compiled-512-64-forward.json,ok,10,5
1,True,,,0.02102944374224265,64,bfloat16,compiled,attention,0.0010727846994996071,10487808,10487808,263168,27262976,10485784,27262976,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0010521437972784043,0.0010651955381035805,0.0010933708399534225,forward_backward,"[0.0011147409677505493, 0.0010924525558948517, 0.0010815951973199844, 0.0010702591389417648, 0.001056712120771408, 0.0010509565472602844, 0.001097043976187706, 0.0010601319372653961, 0.0010516997426748276, 0.0010522548109292984]",2.2560065485665675e-05,0,512,attention/core-compiled-512-64-forward_backward.json,ok,10,5
1,True,,,0.017284823572943545,128,bfloat16,compiled,attention,0.00226161852478981,369231872,369231872,14681600,402653184,369229848,402653184,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.002228308469057083,0.002254749648272991,0.0023095067590475082,backward,"[0.0022087935358285904, 0.0022537074983119965, 0.00222177617251873, 0.002241155132651329, 0.002255791798233986, 0.002228308469057083, 0.0023095067590475082, 0.0022701509296894073, 0.0023125596344470978, 0.0023144353181123734]",3.9091677190292715e-05,0,8192,attention/core-compiled-8192-128-backward.json,ok,10,5
1,True,,,0.0044644830432347075,128,bfloat16,compiled,attention,0.0011311052367091179,224527360,224527360,6292480,245366784,224526352,245366784,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0011280518025159835,0.0011295489966869354,0.001133618876338005,forward,"[0.001143312081694603, 0.0011337008327245712, 0.0011335983872413635, 0.0011298563331365585, 0.0011317823082208633, 0.0011286735534667969, 0.0011274125427007675, 0.0011292416602373123, 0.0011282116174697876, 0.001125263050198555]",5.049800149401837e-06,0,8192,attention/core-compiled-8192-128-forward.json,ok,10,5
1,True,,,0.0010794930462569336,128,bfloat16,compiled,attention,0.0030596071854233743,365037568,365037568,8389632,536870912,365035544,536870912,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0030574843287467955,0.0030595287680625916,0.003061530739068985,forward_backward,"[0.0030608195811510086, 0.0030643753707408905, 0.0030569955706596375, 0.0030599888414144516, 0.0030590686947107315, 0.0030542798340320587, 0.003057703375816345, 0.0030651260167360306, 0.0030601080507040024, 0.003057606518268585]",3.302824680942281e-06,0,8192,attention/core-compiled-8192-128-forward_backward.json,ok,10,5
1,True,,,0.01289600758206398,64,bfloat16,compiled,attention,0.0017324782907962798,356648960,356648960,7341568,394264576,356646936,394264576,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0017135757952928543,0.0017406381666660309,0.0017518773674964905,backward,"[0.0017186254262924194, 0.0017309971153736115, 0.0017135757952928543, 0.0017506610602140427, 0.0017502792179584503, 0.0017044637352228165, 0.0017543714493513107, 0.0017518773674964905, 0.0016972143203020096, 0.0017527174204587936]",2.234205317387007e-05,0,8192,attention/core-compiled-8192-64-backward.json,ok,10,5
1,True,,,0.00365684508793548,64,bfloat16,compiled,attention,0.0008741943165659904,217187328,217187328,3146752,232783872,217186320,232783872,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0008720126003026962,0.0008737780153751373,0.0008756037801504135,forward,"[0.0008767154067754745, 0.0008815620094537735, 0.0008732452988624573, 0.0008716117590665817, 0.000872395932674408, 0.0008743274956941605, 0.0008753258734941483, 0.0008743107318878174, 0.0008721128106117249, 0.0008703358471393585]",3.196793192435456e-06,0,8192,attention/core-compiled-8192-64-forward.json,ok,10,5
1,True,,,0.012137197527913356,64,bfloat16,compiled,attention,0.002414354495704174,354551808,354551808,4195328,392167424,354549784,392167424,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,0.0023968473076820375,0.0024277539923787117,0.0024303242564201353,forward_backward,"[0.002350272610783577, 0.0023770183324813843, 0.0024018045514822006, 0.00242728553712368, 0.0024435967206954956, 0.002430228516459465, 0.0024289358407258987, 0.0024254731833934784, 0.0024282224476337433, 0.0024307072162628174]",2.9303497416767197e-05,0,8192,attention/core-compiled-8192-64-forward_backward.json,ok,10,5
1,True,,,0.0,128,bfloat16,compiled,attention,1.3965418301522732,23200768,23200768,1573888,48234496,23199760,48234496,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,1.3965418301522732,1.3965418301522732,1.3965418301522732,forward,[1.3965418301522732],0.0,0,2048,compile/cold-2048-128.json,ok,1,0
1,True,,,0.0,64,bfloat16,compiled,attention,1.3841837793588638,9569280,9569280,197632,27262976,9568272,27262976,12.6,cuda:0,NVIDIA GeForce RTX 3090,24154.4,False,2.7.1+cu126,3.3.1,,,1.3841837793588638,1.3841837793588638,1.3841837793588638,forward,[1.3841837793588638],0.0,0,512,compile/cold-512-64.json,ok,1,0
