model_size,batch_size,context_length,dtype,tool,event_type,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
small,1,512,fp32,torch.profiler,optimizer_cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float>)",7,,,2202.281,2202.281
small,1,512,fp32,torch.profiler,optimizer_cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<float, 3, 3, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<3>, at::native::(anonymous namespace)::PointwiseOpScalarFunctor<float, 3, 3, 0>, std::multiplies<float>, float)",7,,,1669.254,1669.254
small,1,512,fp32,torch.profiler,optimizer_cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<float, 2, 2, 0>, at::native::LerpFunctor<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::TernaryOpScalarFunctor<float, 2, 2, 0>, at::native::LerpFunctor<float>, float)",7,,,1669.1580000000001,1669.1580000000001
small,1,512,fp32,torch.profiler,optimizer_cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<float, 2, 1, 1>, at::native::Sqrt<float> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<float, 2, 1, 1>, at::native::Sqrt<float>)",7,,,1139.3319999999999,1139.3319999999999
small,1,1024,fp32,torch.profiler,range,forward,1,0.0,0.0,31179.939,31179.939
small,1,1024,fp32,torch.profiler,range,profile/measure,1,84607.263,72.92900000000373,20256.114999999954,0.0
small,1,1024,fp32,torch.profiler,range,optimizer,1,4076.7709999999934,86.01499999999942,11141.836999999956,0.0
small,1,1024,fp32,torch.profiler,range,attention/softmax,12,0.0,0.0,2047.5900000000065,2047.5900000000065
small,1,1024,fp32,torch.profiler,range,attention/scores,12,0.0,0.0,1286.1829999999973,1286.1829999999973
small,1,1024,fp32,torch.profiler,range,attention/value,12,0.0,0.0,363.77899999999954,363.77899999999954
small,1,1024,fp32,torch.profiler,range,backward,1,0.0,0.0,1.055000000000291,1.055000000000291
small,1,1024,fp32,torch.profiler,range,profile/warmup,1,2235.254,96.82600000000002,0.0,0.0
small,1,1024,fp32,torch.profiler,torch_op,aten::bmm,327,6957.59400000003,5277.888000000157,16678.769000000088,16678.769000000088
small,1,1024,fp32,torch.profiler,torch_op,autograd::engine::evaluate_function: BmmBackward0,109,6516.640000000014,787.8200000000288,11472.726000000082,0.0
small,1,1024,fp32,torch.profiler,torch_op,BmmBackward0,109,5728.819999999985,689.1150000000343,11472.726000000082,0.0
small,1,1024,fp32,torch.profiler,cuda_kernel,Optimizer.step#AdamW.step,1,0.0,0.0,11176.494999999995,11176.494999999995
small,1,1024,fp32,torch.profiler,torch_op,Optimizer.step#AdamW.step,1,3983.406999999992,1429.2669999999925,11141.836999999956,0.0
small,1,1024,fp32,torch.profiler,torch_op,aten::einsum,85,8024.971999999967,1854.5740000000528,4290.423000000006,0.0
small,1,1024,fp32,torch.profiler,torch_op,aten::mul,527,6693.297999999879,4188.904999999859,4230.358999999971,4230.358999999971
small,1,1024,fp32,torch.profiler,cuda_kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nt_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x5_nt_align4::Params),37,0.0,0.0,3968.600000000013,3968.600000000013
small,1,1024,fp32,torch.profiler,torch_op,autograd::engine::evaluate_function: SoftmaxBackward0,12,456.5079999999871,61.020999999993364,3324.590000000004,0.0
small,1,1024,fp32,torch.profiler,torch_op,SoftmaxBackward0,12,395.4869999999937,41.19499999999243,3324.590000000004,0.0
small,1,1024,fp32,torch.profiler,torch_op,aten::_softmax_backward_data,12,354.2920000000013,141.06099999999424,3324.590000000004,1777.8309999999983
small,1,1024,fp32,torch.profiler,cuda_kernel,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",184,0.0,0.0,3254.476999999957,3254.476999999957
small,1,1024,fp32,torch.profiler,torch_op,aten::where,48,1980.4509999999964,509.0910000000076,3013.1009999999114,1491.7179999999616
small,1,1024,fp32,torch.profiler,cuda_kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4::Params),72,0.0,0.0,2944.5900000000984,2944.5900000000984
small,1,1024,fp32,torch.profiler,torch_op,autograd::engine::evaluate_function: MulBackward0,170,6250.543999999994,1325.9469999999637,2277.2069999999294,0.0
small,1,1024,fp32,torch.profiler,torch_op,aten::_foreach_mul_,2,402.2810000000027,300.7270000001008,2241.097999999969,2241.097999999969
small,1,1024,fp32,torch.profiler,cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float>(at::native::(anonymous namespace)::TensorListMetadata<1>, at::native::(anonymous namespace)::BinaryOpScalarFunctor<float, 1, 1, 0>, std::multiplies<float>, float)",14,0.0,0.0,2241.097999999969,2241.097999999969
small,1,1024,fp32,torch.profiler,cuda_kernel,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4::Params),25,0.0,0.0,2227.083000000004,2227.083000000004
small,1,1024,fp32,torch.profiler,torch_op,aten::_foreach_addcdiv_,1,272.5320000000065,225.9510000001028,2196.4259999999776,2196.4259999999776
small,1,1024,fp32,torch.profiler,cuda_kernel,"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float> >(at::native::(anonymous namespace)::TensorListScalarListMetadata<float, 3>, at::native::(anonymous namespace)::PointwiseOpScalarListFunctor<float, 3, 3, 0>, std::divides<float>)",7,0.0,0.0,2196.4259999999776,2196.4259999999776
