config_id,workload,implementation,model_size,batch_size,sequence_length,head_dim,dtype,is_causal,phase,warmup_ms,rep_ms,measurement_count,p20_ms,p50_ms,p80_ms,speedup_vs_eager,cold_start_total_ms,peak_allocated_mib,peak_reserved_mib,allocator_limit_mib,allocator_fraction,within_24gib,status,failure_stage,error_type,source_json
attention-eager-b1-t8192-d128-forward-bf16,attention,eager,,1,8192,128,bf16,true,forward,100,300,131,1.9956159591674805,1.99782395362854,2.0182719230651855,1.0,,402.125,660.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t8192_d128_forward_bf16.json
attention-compiled-b1-t8192-d128-forward-bf16,attention,compiled,,1,8192,128,bf16,true,forward,100,300,111,0.6819519996643066,0.6830080151557922,0.6850559711456299,2.9250373484604597,1508.2266721874475,210.125,470.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t8192_d128_forward_bf16.json
attention-eager-b1-t8192-d128-backward-bf16,attention,eager,,1,8192,128,bf16,true,backward,100,300,67,2.4517375469207763,2.4535040855407715,2.4564160823822023,1.0,,604.25,916.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t8192_d128_backward_bf16.json
attention-compiled-b1-t8192-d128-backward-bf16,attention,compiled,,1,8192,128,bf16,true,backward,100,300,77,1.16428804397583,1.1663360595703125,1.1683839559555054,2.1035996147153866,2954.3121259193867,352.25,638.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t8192_d128_backward_bf16.json
attention-eager-b1-t8192-d128-forward_backward-bf16,attention,eager,,1,8192,128,bf16,true,forward_backward,100,300,49,4.366335868835449,4.370431900024414,4.383596706390381,1.0,,604.25,1044.0,23552,0.48542746322568014,true,ok,,,attention_eager_b1_t8192_d128_forward_backward_bf16.json
attention-compiled-b1-t8192-d128-forward_backward-bf16,attention,compiled,,1,8192,128,bf16,true,forward_backward,100,300,68,1.8053120374679565,1.807360053062439,1.810431957244873,2.418130185304825,4367.458591004834,348.25,618.0,23552,0.48542746322568014,true,ok,,,attention_compiled_b1_t8192_d128_forward_backward_bf16.json
transformer_small-eager-b1-t512-dna-forward-bf16,transformer_small,eager,small,1,512,,bf16,true,forward,100,300,27,10.562893104553222,10.600576400756836,10.674188613891602,1.0,,775.7333984375,1068.0,23552,0.48542746322568014,true,ok,,,transformer_small_eager_b1_t512_forward_bf16.json
transformer_small-compiled-b1-t512-dna-forward-bf16,transformer_small,compiled,small,1,512,,bf16,true,forward,100,300,98,2.672844886779785,2.68995201587677,2.7045888900756836,3.940805017409077,18605.2721159067,535.2607421875,948.0,23552,0.48542746322568014,true,ok,,,transformer_small_compiled_b1_t512_forward_bf16.json
transformer_small-eager-b1-t512-dna-forward_backward-bf16,transformer_small,eager,small,1,512,,bf16,true,forward_backward,100,300,7,36.605082702636714,37.14985656738281,37.974002838134766,1.0,,1394.771484375,2224.0,23552,0.48542746322568014,true,ok,,,transformer_small_eager_b1_t512_forward_backward_bf16.json
transformer_small-compiled-b1-t512-dna-forward_backward-bf16,transformer_small,compiled,small,1,512,,bf16,true,forward_backward,100,300,7,11.849523162841797,12.729344367980957,13.2421630859375,2.918442261710551,33125.173202948645,1185.88916015625,2046.0,23552,0.48542746322568014,true,ok,,,transformer_small_compiled_b1_t512_forward_backward_bf16.json
transformer_small-eager-b1-t512-dna-train_step-bf16,transformer_small,eager,small,1,512,,bf16,true,train_step,100,300,5,51.56433944702148,52.82611083984375,53.6985595703125,1.0,,2425.21484375,2866.0,23552,0.48542746322568014,true,ok,,,transformer_small_eager_b1_t512_train_step_bf16.json
transformer_small-compiled-b1-t512-dna-train_step-bf16,transformer_small,compiled,small,1,512,,bf16,true,train_step,100,300,9,25.09516792297363,25.182207107543945,25.27313919067383,2.0977553958730804,17639.89428896457,2191.43408203125,2770.0,23552,0.48542746322568014,true,ok,,,transformer_small_compiled_b1_t512_train_step_bf16.json
