time_us,active_mib,reserved_mib
1786439271631235,19403.482910,19166.000000
1786439271631563,19405.499512,19166.000000
1786439271632142,19420.296387,19186.000000
1786439271633081,19529.045898,19308.000000
1786439271634334,19612.796387,19388.000000
1786439271635119,19629.046387,19406.000000
1786439271635419,19630.727051,19406.000000
1786439271635959,19643.983887,19420.000000
1786439271637131,19810.859375,19592.000000
1786439271638137,19854.609863,19624.000000
1786439271638452,19856.484863,19626.000000
1786439271639010,19861.923340,19646.000000
1786439271639377,19871.422852,19646.000000
1786439271640599,20035.798828,19818.000000
1786439271641756,20080.798340,19864.000000
1786439271642056,20083.064941,19864.000000
1786439271642646,20085.736816,19878.000000
1786439271643494,20157.611328,19950.000000
1786439271644525,20278.861816,20066.000000
1786439271645335,20308.236816,20084.000000
1786439271645677,20309.261230,20084.000000
1786439271646231,20321.299316,20104.000000
1786439271647470,20489.424805,20276.000000
1786439271648639,20533.800293,20322.000000
1786439271648963,20534.425293,20324.000000
1786439271649310,20538.488770,20324.000000
1786439271649877,20548.738770,20338.000000
1786439271651123,20714.364258,20510.000000
1786439271680523,20848.961430,20642.000000
1786439271681536,20847.723148,20838.000000
1786439271688850,20848.970707,20838.000000
1786439271692434,20941.470707,21138.000000
1786439271697605,20985.845707,21238.000000
1786439271697783,20981.480473,21238.000000
1786439271706324,20993.354984,21238.000000
1786439271717311,20995.089359,21238.000000
1786439271732227,20990.292484,21238.000000
1786439271733195,20989.979984,21238.000000
1786439271733479,20990.604984,21238.000000
1786439271733798,21025.917484,21238.000000
1786439271734092,21037.167484,21238.000000
1786439271734271,21021.554203,21238.000000
1786439271734450,21020.301762,21238.000000
1786439271735176,21115.926762,21438.000000
1786439271735563,21159.051762,21538.000000
1786439271735730,21156.561527,21538.000000
1786439271736033,21167.561039,21538.000000
1786439271736205,21164.920414,21538.000000
1786439271736427,21163.498539,21538.000000
1786439271736666,21164.123539,21538.000000
1786439271736843,21162.873539,21538.000000
1786439271737101,21175.998539,21538.000000
1786439271737396,21198.498539,21538.000000
1786439271737556,21195.384281,21538.000000
1786439271737784,21244.132816,21538.000000
1786439271738403,21294.757816,21738.000000
1786439271738811,21334.132816,21838.000000
1786439271738979,21332.892094,21838.000000
1786439271739253,21340.767094,21838.000000
1786439271739434,21339.751469,21838.000000
1786439271739691,21337.954594,21838.000000
1786439271739873,21337.642094,21838.000000
1786439271740051,21337.329594,21838.000000
1786439271740319,21361.704594,21838.000000
1786439271740584,21372.329594,21838.000000
1786439271740732,21369.214848,21838.000000
1786439271741176,21517.963871,21938.000000
1786439271741580,21466.088871,22038.000000
1786439271741964,21507.973637,22138.000000
1786439271742126,21507.973148,22138.000000
1786439271742436,21515.598148,22138.000000
1786439271742580,21512.590336,22138.000000
1786439271742825,21512.410648,22138.000000
1786439271743018,21511.785648,22138.000000
1786439271743176,21510.535648,22138.000000
1786439271743468,21536.160648,22138.000000
1786439271743713,21547.410648,22138.000000
1786439271743856,21544.295414,22138.000000
1786439271744316,21594.294926,22238.000000
1786439271744708,21639.919926,22338.000000
1786439271745318,21679.304691,22438.000000
1786439271745536,21679.304203,22438.000000
1786439271745872,21688.429203,22438.000000
1786439271746029,21686.421391,22438.000000
1786439271746291,21686.241703,22438.000000
1786439271746465,21684.991703,22438.000000
1786439271746638,21684.991703,22438.000000
1786439271746914,21696.866703,22438.000000
1786439271747173,21719.366703,22438.000000
1786439271747324,21718.125980,22438.000000
1786439271747784,21768.125980,22538.000000
1786439271748196,21811.250980,22638.000000
1786439271748591,21851.885746,22738.000000
1786439271748753,21851.885258,22738.000000
1786439271749110,21868.260258,22738.000000
1786439271749268,21860.244633,22738.000000
1786439271749536,21860.385258,22738.000000
1786439271749735,21859.760258,22738.000000
1786439271749904,21858.822758,22738.000000
1786439271750167,21870.072758,22738.000000
1786439271750453,21895.707523,22738.000000
1786439271750622,21895.707035,22738.000000
1786439271751073,21939.457035,22838.000000
1786439271751475,21982.582035,22938.000000
1786439271751919,22028.217289,23038.000000
1786439271752068,22024.466312,23038.000000
1786439271752437,22044.091312,23038.000000
1786439271752589,22034.044437,23038.000000
1786439271752854,22034.528812,23038.000000
1786439271753048,22033.591312,23038.000000
1786439271753222,22032.653812,23038.000000
1786439271753548,22056.403812,23038.000000
1786439271753778,22068.288578,23038.000000
1786439271753940,22068.288090,23038.000000
1786439271754388,22160.788090,23138.000000
1786439271754813,22204.538090,23238.000000
1786439271755176,22200.798344,23338.000000
1786439271755355,22210.172367,23338.000000
1786439271755676,22213.922367,23338.000000
1786439271755833,22206.875494,23338.000000
1786439271756096,22207.734867,23338.000000
1786439271756296,22207.109867,23338.000000
1786439271756471,22206.484867,23338.000000
1786439271756775,22255.234867,23338.000000
1786439271756991,22240.869633,23338.000000
1786439271757146,22240.869144,23338.000000
1786439271757682,22335.244144,23438.000000
1786439271758066,22375.869144,23538.000000
1786439271758421,22373.379398,23638.000000
1786439271758633,22384.628422,23638.000000
1786439271758906,22385.753422,23638.000000
1786439271759556,22381.706547,23638.000000
1786439271759842,22383.128422,23638.000000
1786439271760029,22382.190922,23638.000000
1786439271760217,22392.190922,23638.000000
1786439271760505,22405.315922,23638.000000
1786439271760722,22414.700687,23638.000000
1786439271760867,22413.450199,23638.000000
1786439271761378,22456.575199,23738.000000
1786439271761804,22499.700199,23838.000000
1786439271762160,22545.960941,23938.000000
1786439271762355,22545.334476,23938.000000
1786439271762643,22561.600101,23938.000000
1786439271762807,22554.537601,23938.000000
1786439271763075,22556.334476,23938.000000
1786439271763269,22555.709476,23938.000000
1786439271763472,22566.646976,23938.000000
1786439271763726,22578.521976,23938.000000
1786439271763959,22589.782230,23938.000000
1786439271764088,22584.781254,23938.000000
1786439271764582,22629.781254,24038.000000
1786439271765030,22772.906254,24138.000000
1786439271765386,22719.792973,24238.000000
1786439271765567,22718.540531,24238.000000
1786439271765860,22733.431156,24238.000000
1786439271766030,22729.353031,24238.000000
1786439271766289,22729.540531,24238.000000
1786439271766471,22728.915531,24238.000000
1786439271766671,22727.353031,24238.000000
1786439271766961,22764.228031,24238.000000
1786439271767150,22762.363285,24238.000000
1786439271767310,22809.237309,24238.000000
1786439271767823,22853.612309,24338.000000
1786439271768365,22896.737309,24538.000000
1786439271768532,22893.623539,24538.000000
1786439271768765,22904.871586,24538.000000
1786439271768987,22905.246586,24538.000000
1786439271769161,22902.184086,24538.000000
1786439271769442,22903.996586,24538.000000
1786439271769620,22903.059086,24538.000000
1786439271769811,22900.559086,24538.000000
1786439271770108,22937.434086,24538.000000
1786439271770292,22933.694340,24538.000000
1786439271770488,22984.943363,24538.000000
1786439271771145,23127.443363,24738.000000
1786439271771531,23070.568363,24838.000000
1786439271771690,23067.453617,24838.000000
1786439271771934,23103.702641,24838.000000
1786439271772159,23079.062016,24838.000000
1786439271772378,23077.265141,24838.000000
1786439271772592,23077.202641,24838.000000
1786439271772779,23077.202641,24838.000000
1786439271773016,23086.890141,24838.000000
1786439271773259,23098.765141,24838.000000
