time_us,active_mib,reserved_mib
1786439213212176,19599.300301,19990.000000
1786439213212369,19601.175301,19990.000000
1786439213212529,19623.675301,19990.000000
1786439213212863,19696.175301,19990.000000
1786439213213007,19667.437019,19990.000000
1786439213213364,19771.184578,20090.000000
1786439213213981,19867.434578,20290.000000
1786439213214324,19942.434578,20390.000000
1786439213214452,19938.695320,20390.000000
1786439213214668,19962.443855,20390.000000
1786439213214862,19961.209480,20390.000000
1786439213215000,19959.146980,20390.000000
1786439213215220,19957.131355,20390.000000
1786439213215382,19957.131355,20390.000000
1786439213215706,20007.131355,20390.000000
1786439213215893,20027.141121,20390.000000
1786439213216031,20030.890633,20390.000000
1786439213216619,20124.640633,20590.000000
1786439213217028,20307.140633,20690.000000
1786439213217336,20300.900887,20790.000000
1786439213217467,20299.649910,20790.000000
1786439213217778,20327.649910,20790.000000
1786439213217880,20319.649910,20790.000000
1786439213218022,20315.587410,20790.000000
1786439213218288,20318.087410,20790.000000
1786439213218446,20340.587410,20790.000000
1786439213218777,20413.087410,20790.000000
1786439213218917,20384.349129,20790.000000
1786439213219217,20483.096687,20890.000000
1786439213219868,20584.346687,21090.000000
1786439213220635,20658.096687,21190.000000
1786439213220773,20655.607430,21190.000000
1786439213221001,20704.355965,21190.000000
1786439213221194,20678.121590,21190.000000
1786439213221325,20676.059090,21190.000000
1786439213221552,20674.043465,21190.000000
1786439213221711,20674.043465,21190.000000
1786439213222036,20749.043465,21190.000000
1786439213222217,20744.053230,21190.000000
1786439213222346,20746.552742,21190.000000
1786439213222970,20841.552742,21390.000000
1786439213223415,21024.052742,21490.000000
1786439213223763,21017.812996,21590.000000
1786439213223881,21017.812019,21590.000000
1786439213224187,21044.562019,21590.000000
1786439213224275,21034.562019,21590.000000
1786439213224427,21032.499519,21590.000000
1786439213224683,21034.999519,21590.000000
1786439213224810,21032.499519,21590.000000
1786439213225172,21129.999519,21590.000000
1786439213225302,21101.261238,21590.000000
1786439213225630,21200.008797,21690.000000
1786439213226266,21301.258797,21890.000000
1786439213226598,21375.008797,21990.000000
1786439213226724,21372.519539,21990.000000
1786439213226934,21421.268074,21990.000000
1786439213227126,21395.033699,21990.000000
1786439213227258,21392.971199,21990.000000
1786439213227475,21390.955574,21990.000000
1786439213227631,21391.580574,21990.000000
1786439213227948,21465.955574,21990.000000
1786439213228128,21462.215340,21990.000000
1786439213228257,21463.464851,21990.000000
1786439213228849,21563.464851,22190.000000
1786439213229236,21740.964851,22290.000000
1786439213229561,21734.725105,22390.000000
1786439213229688,21734.724129,22390.000000
1786439213229991,21759.474129,22390.000000
1786439213230086,21751.474129,22390.000000
1786439213230242,21749.411629,22390.000000
1786439213230490,21751.911629,22390.000000
1786439213230624,21749.411629,22390.000000
1786439213230936,21821.911629,22390.000000
1786439213231111,21818.173347,22390.000000
1786439213231428,21816.920906,22490.000000
1786439213232073,22018.170906,22690.000000
1786439213232406,22093.170906,22790.000000
1786439213232530,22089.431648,22790.000000
1786439213232728,22138.180183,22790.000000
1786439213232924,22111.945808,22790.000000
1786439213233055,22109.883308,22790.000000
1786439213233271,22108.492683,22790.000000
1786439213233437,22108.492683,22790.000000
1786439213233752,22182.867683,22790.000000
1786439213233940,22179.127449,22790.000000
1786439213234054,22179.126961,22790.000000
1786439213234664,22280.376961,22990.000000
1786439213235022,22456.626961,23090.000000
1786439213235362,22451.637215,23190.000000
1786439213235483,22451.636238,23190.000000
1786439213235785,22476.386238,23190.000000
1786439213235878,22468.386238,23190.000000
1786439213236024,22467.573738,23190.000000
1786439213236278,22468.823738,23190.000000
1786439213236412,22467.573738,23190.000000
1786439213236723,22538.823738,23190.000000
1786439213236890,22535.084969,23190.000000
1786439213237199,22533.833015,23290.000000
1786439213237840,22730.083015,23490.000000
1786439213238181,22810.083015,23590.000000
1786439213238310,22806.344246,23590.000000
1786439213238515,22855.092293,23590.000000
1786439213238713,22828.857918,23590.000000
1786439213238844,22828.795418,23590.000000
1786439213239060,22825.404793,23590.000000
1786439213239217,22825.404793,23590.000000
1786439213239526,22899.779793,23590.000000
1786439213239713,22896.039558,23590.000000
1786439213239827,22896.039070,23590.000000
1786439213240426,22997.289070,23790.000000
1786439213240781,23173.539070,23890.000000
1786439213241110,23168.548836,23990.000000
1786439213241237,23168.548347,23990.000000
1786439213241541,23193.298347,23990.000000
1786439213241636,23187.298347,23990.000000
1786439213241784,23184.485847,23990.000000
1786439213242023,23185.110847,23990.000000
1786439213242170,23184.485847,23990.000000
1786439213242480,23256.985847,23990.000000
1786439213242647,23251.997078,23990.000000
1786439213242736,23250.745125,23990.000000
1786439213243590,23446.995125,24290.000000
1786439213243932,23526.995125,24390.000000
1786439213244064,23523.256355,24390.000000
1786439213244266,23572.004402,24390.000000
1786439213244464,23547.770027,24390.000000
1786439213244594,23545.707527,24390.000000
1786439213244802,23542.316902,24390.000000
1786439213244965,23542.316902,24390.000000
1786439213245228,23591.691902,24390.000000
1786439213245473,23612.951668,24390.000000
1786439213245583,23611.701180,24390.000000
1786439213246195,23714.201180,24590.000000
1786439213246534,23790.451180,24690.000000
1786439213246893,23885.460945,24790.000000
1786439213247020,23885.460457,24790.000000
1786439213247308,23908.210457,24790.000000
1786439213247418,23904.210457,24790.000000
1786439213247568,23901.397957,24790.000000
1786439213247812,23902.022957,24790.000000
1786439213247961,23901.397957,24790.000000
1786439213248285,23973.897957,24790.000000
1786439213248446,23968.908699,24790.000000
1786439213248549,23967.657234,24790.000000
1786439213249408,24158.907234,25090.000000
1786439213249783,24243.907234,25190.000000
1786439213249913,24240.168465,25190.000000
1786439213250076,24263.916512,25190.000000
1786439213250330,24264.682137,25190.000000
1786439213250461,24262.619637,25190.000000
1786439213250677,24259.229012,25190.000000
1786439213250847,24259.854012,25190.000000
1786439213251121,24308.604012,25190.000000
1786439213251360,24331.113777,25190.000000
1786439213251471,24328.613289,25190.000000
1786439213252089,24436.113289,25390.000000
1786439213252433,24507.363289,25490.000000
1786439213252805,24602.373055,25590.000000
1786439213252939,24603.622566,25590.000000
1786439213253234,24625.122566,25590.000000
1786439213253336,24621.122566,25590.000000
1786439213253505,24618.310066,25590.000000
1786439213253737,24618.310066,25590.000000
1786439213253892,24618.310066,25590.000000
1786439213254215,24690.810066,25590.000000
1786439213254379,24685.820808,25590.000000
1786439213254480,24685.819344,25590.000000
1786439213255317,24875.819344,25890.000000
1786439213255687,24960.819344,25990.000000
1786439213255818,24957.080574,25990.000000
1786439213255980,24980.828621,25990.000000
1786439213256227,24981.594246,25990.000000
1786439213256360,24979.531746,25990.000000
1786439213256575,24977.391121,25990.000000
1786439213256744,24976.766121,25990.000000
1786439213257011,25026.766121,25990.000000
1786439213257250,25048.025887,25990.000000
1786439213257370,25045.525887,25990.000000
1786439213257997,25153.025398,26190.000000
1786439213258347,25224.275398,26290.000000
1786439213258703,25318.035164,26390.000000
1786439213258846,25320.534676,26390.000000
1786439213259151,25340.034676,26390.000000
1786439213259272,25338.034676,26390.000000
1786439213259435,25336.472176,26390.000000
1786439213259672,25335.222176,26390.000000
1786439213259816,25333.972176,26390.000000
1786439213260162,25407.722176,26390.000000
1786439213260315,25402.732430,26390.000000
1786439213260428,25402.731453,26390.000000
1786439213261291,25592.731453,26690.000000
1786439213261687,25678.981453,26790.000000
1786439213261825,25673.992683,26790.000000
1786439213261994,25698.990730,26790.000000
1786439213262244,25698.506355,26790.000000
1786439213262375,25696.443859,26790.000000
1786439213262591,25694.303230,26790.000000
1786439213262753,25693.678230,26790.000000
1786439213263027,25743.678230,26790.000000
1786439213263262,25764.937996,26790.000000
1786439213263373,25762.437996,26790.000000
1786439213263995,25869.937508,26990.000000
1786439213264344,25946.187508,27090.000000
1786439213264697,26034.947273,27190.000000
1786439213264833,26037.446785,27190.000000
1786439213265121,26056.946785,27190.000000
1786439213265223,26054.931160,27190.000000
1786439213265403,26053.384285,27190.000000
1786439213265626,26051.509285,27190.000000
1786439213265781,26050.884285,27190.000000
1786439213266121,26124.634285,27190.000000
1786439213266276,26119.644539,27190.000000
1786439213266389,26119.643562,27190.000000
1786439213267246,26409.643562,27490.000000
1786439213267613,26395.893562,27590.000000
1786439213267742,26390.905281,27590.000000
1786439213267902,26415.902840,27590.000000
1786439213268155,26417.418465,27590.000000
1786439213268290,26413.355968,27590.000000
1786439213268497,26411.215340,27590.000000
1786439213268663,26410.590340,27590.000000
1786439213268947,26460.590340,27590.000000
1786439213269180,26481.850105,27590.000000
1786439213269292,26479.350105,27590.000000
1786439213308839,26574.509774,27688.000000
1786439213350126,26893.568359,27936.000000
1786439213351678,27593.607422,28666.000000
1786439213353274,28368.617188,29422.000000
1786439213354733,28868.646484,29930.000000
1786439213356185,29368.685547,30438.000000
1786439213357746,30068.724609,31168.000000
1786439213359264,30793.763672,31898.000000
1786439213360861,31568.773438,32654.000000
1786439213362404,32068.802734,33162.000000
1786439213363884,32568.841797,33670.000000
1786439213365401,33268.880859,34400.000000
1786439213366950,33993.919922,35130.000000
1786439213368538,34768.919922,35886.000000
1786439213370024,35268.958984,36394.000000
1786439213371474,35743.998047,36902.000000
1786439213373016,36469.037109,37632.000000
1786439213374451,37194.076172,38336.000000
1786439213376159,37969.076172,39118.000000
1786439213377650,38469.115234,39626.000000
1786439213379185,38944.154297,40134.000000
1786439213380732,39669.193359,40864.000000
1786439213383100,40394.232422,41568.000000
1786439213384814,41169.232422,42350.000000
1786439213386303,41569.271484,42858.000000
1786439213387806,42144.310547,43366.000000
1786439213389229,42869.349609,44070.000000
1786439213390798,43594.388672,44800.000000
1786439213392527,44269.388672,45582.000000
1786439213394091,44769.427734,46090.000000
1786439213395618,45344.466797,46598.000000
1786439213397097,46069.505859,47302.000000
1786439213398727,46794.544922,48032.000000
1786439213400496,47469.544922,48814.000000
1786439213402048,47969.583984,49322.000000
1786439213403444,48544.623047,49804.000000
1786439213405056,49269.662109,50534.000000
1786439213406703,49969.701172,51264.000000
1786439213408493,50669.701172,52046.000000
